["Genius - Retail Customer Service", "Apple", "Sydney NSW", "Null", "At the Apple Store  you maintain customers’ trust in Apple as the skilled expert  troubleshooting and repairing products."]
["Office Assistant", "Liverpool Physio", "Liverpool NSW", "Null", "Customer service  answering phone and filing ect Job Types: Casual  Permanent Salary: $10 000.00 to $15 000.00 …"]
["Team Member | Roll'd Kotara", "Roll'd Australia", "Kotara NSW", "$15 - $25 an hour", "With new store openings that is in a rapid growth phase  we are looking for experienced and energetic team members to join our dynamic family."]
["Farm Hand /Machinery operator", "Greener Lawn Supplies Pty Ltd", "Freemans Reach NSW", "Null", "HR truck licence an advantage  must be happy to do manual labour and willing to learn operate computerised Machinery."]
["Casting Now - Actors Models and Extras for work in Film and...", "Screentalent", "Sydney NSW", "Null", "Actors  Models  Extras and Featured Extras required for work in film and television production.*. With Sydney becoming one of the world's leading film and…"]
["Retail Assistant", "ALDI", "Null", "$25.31 an hour", "A Retail Assistant at ALDI needs to be able to thrive in a fast paced  team environment and always be willing to go the extra mile for their customers and team."]
["SALES ASSOCIATE - CASUALS", "Foot Locker", "Null", "Null", "0-3 year of retail experience. You recognize yourself when you enter one of our stores. Maintains an awareness of all product knowledge  and current or upcoming…"]
["Casual Sales Assistant | BONDS | Macarthur Square", "Hanes Brands", "Null", "Null", "Previous fashion retail experience will be highly regarded  but is not essential…. We love to promote from within – in 2018  43% of head office and retail…"]
["Online hub team member", "Big W", "Null", "Null", "BIG W are seeking a motivated  enthusiastic and energetic person to join our Team. Abiding by company policies and procedures in relation to Occupational Health…"]
["Team Member - Overnightfill - Coles Morisset", "Coles", "Null", "Null", "Working behind closed doors  you will be busy preparing the store so that it is fully stocked and looking great  ready for our customers in the morning."]
["adidas Christmas Casuals - Sydney Locations 1", "Adidas", "Null", "Null", "To be considered for the roles you will be required to have availability to work retail hours across weekdays and weekends and available to work on a casual…"]
["x2 Full Time Room Attendants/Houseperson - Holiday Inn Old S...", "Holiday Inn", "Null", "Null", "You need to show us you care: So go on - show us how your passion and personality are the perfect fit to deliver memorable experiences to our guests."]
["Night Fill Team Member", "Woolworths Supermarkets", "Null", "Null", "Meeting the needs of our customers is our number one priority and right now we need new team members who can work flexible retail hours which includes late…"]
["Christmas Casuals | BONDS | Erina Fair", "Hanes Brands", "Null", "Null", "You have previous experience delighting customers and wish to take your skills to the next level in a fashion retail environment. Are you just the person?"]
["Christmas Casuals | CHAMPION | Miranda", "Hanes Brands", "Null", "Null", "You have an absolute PASSION for retail & customer service! To help support our stores during the busy Christmas trade  we are looking for passionate  driven…"]
["Team Member | Roll'd Kotara", "Roll'd Australia", "Kotara NSW", "$15 - $25 an hour", "With new store openings that is in a rapid growth phase  we are looking for experienced and energetic team members to join our dynamic family."]
["Genius - Retail Customer Service", "Apple", "Sydney NSW", "Null", "At the Apple Store  you maintain customers’ trust in Apple as the skilled expert  troubleshooting and repairing products."]
["Office Assistant", "Liverpool Physio", "Liverpool NSW", "Null", "Customer service  answering phone and filing ect Job Types: Casual  Permanent Salary: $10 000.00 to $15 000.00 …"]
["Stocktake Team Member", "Woolworths Supermarkets", "Null", "Null", "Hold a current drivers licence and have access to your own vehicle. We are currently seeking motivated and enthusiastic people for Stocktake Assistant positions…"]
["Night Fill Team Member", "Woolworths Supermarkets", "Null", "Null", "Meeting the needs of our customers is our number one priority and right now we need new team members who can work flexible retail hours which includes late…"]
["x2 Full Time Room Attendants/Houseperson - Holiday Inn Old S...", "Holiday Inn", "Null", "Null", "You need to show us you care: So go on - show us how your passion and personality are the perfect fit to deliver memorable experiences to our guests."]
["Team Member - Overnightfill - Coles Morisset", "Coles", "Null", "Null", "Working behind closed doors  you will be busy preparing the store so that it is fully stocked and looking great  ready for our customers in the morning."]
["Christmas Casuals | BONDS Kids | Burwood", "Hanes Brands", "Null", "Null", "You have previous experience delighting customers and wish to take your skills to the next level in a fashion retail environment. Are you just the person?"]
["CHRISTMAS CASUALS | NOWRA", "Cotton On", "Null", "Null", "To deliver on-trend fashion  fast! We have kept our true Aussie spirit alive since we first began  and now with nearly 600 COTTON:ON stores across the globe  we…"]
["Fill Team Member- Big W Parkes", "Big W", "Null", "Null", "BIG W are seeking a motivated  enthusiastic and energetic person to join our Fill Team. Abiding by company policies and procedures in relation to Occupational…"]
["Seasonal Casual - rebel - Macquarie", "Rebel", "Null", "Null", "Super Retail Group is proud to be an equal opportunity employer where we; Sharing your product knowledge and keeping up to date with current and new products…"]
["Warehouse Operator", "ALDI", "Null", "$33.75 an hour", "Working in our fast-paced Warehouse environment  our Operators select products accurately  safely and efficiently for delivery to our stores."]
["Christmas Casuals | BONDS | Narellan & Macarthur Square", "Hanes Brands", "Null", "Null", "You have previous experience delighting customers and wish to take your skills to the next level in a fashion retail environment. Are you just the person?"]
["Casting Now - Actors Models and Extras for work in Film and...", "Screentalent", "Sydney NSW", "Null", "Actors  Models  Extras and Featured Extras required for work in film and television production.*. With Sydney becoming one of the world's leading film and…"]
["Farm Hand /Machinery operator", "Greener Lawn Supplies Pty Ltd", "Freemans Reach NSW", "Null", "HR truck licence an advantage  must be happy to do manual labour and willing to learn operate computerised Machinery."]
["Pick Packers", "Cornerstone HR", "Lidcombe NSW", "$25 - $27 an hour", "All other warehouse duties as required. Due to the large volume of applications  only shortlised candidates will be contacted. Working in a similar environment."]
["Farm Hand /Machinery operator", "Greener Lawn Supplies Pty Ltd", "Freemans Reach NSW", "Null", "HR truck licence an advantage  must be happy to do manual labour and willing to learn operate computerised Machinery."]
["Casting Now - Actors Models and Extras for work in Film and...", "Screentalent", "Sydney NSW", "Null", "Actors  Models  Extras and Featured Extras required for work in film and television production.*. With Sydney becoming one of the world's leading film and…"]
["Genius - Retail Customer Service", "Apple", "Sydney NSW", "Null", "At the Apple Store  you maintain customers’ trust in Apple as the skilled expert  troubleshooting and repairing products."]
["Retail Assistant - Balgowlah", "ALDI", "Null", "$25.31 an hour", "A Retail Assistant at ALDI needs to be able to thrive in a fast paced  team environment and always be willing to go the extra mile for their customers and team."]
["Team Member - Personal Shopper - Coles North Rocks", "Coles", "Null", "Null", "As well as delivering a great outcome for our customers   you'll have flexibility to work a variety of shifts across our store trading hours and be able to…"]
["Christmas Casuals | BONDS | Tuggerah", "Hanes Brands", "Null", "Null", "You have previous experience delighting customers and wish to take your skills to the next level in a fashion retail environment. Are you just the person?"]
["Fruit & Vegetable Retail Assistant", "CGH Pty Ltd", "Null", "$70000 a year", "To ensure produce is fresh and well presented and maintained at all times. Stock control and stock rotation. Picking & Packing customer orders."]
["Crew Member- Day Time", "Red Rooster", "Null", "Null", "Become part of a family of mates who’re passionate about delicious food and great customer service  know how to fun  and think you’re awesome just the way you…"]
["Casual Retail Team Members", "Platypus Shoes", "Null", "Null", "Opportunity to develop and progress up the retail food chain. Are you itching to MAKE YOUR MARK within a leading footwear retailer? What’s in it for you:"]
["Casual Sales Assistant | BONDS | Macarthur Square", "Hanes Brands", "Null", "Null", "Previous fashion retail experience will be highly regarded  but is not essential…. We love to promote from within – in 2018  43% of head office and retail…"]
["HOYTS Sydney Customer Service", "Hoyts Entertainment", "Null", "Null", "If you’re not already sold  you’ll also receive 50c movie tickets and more amazing perks. Computer literate with the ability to learn customer service software…"]
["Seasonal Casual - BCF Lake Haven", "BCF", "Null", "Null", "Super Retail Group is proud to be an equal opportunity employer where we; Sharing your product knowledge and keeping up to date with current and new products…"]
["Retail Team Member", "Krispy Kreme", "Null", "Null", "As part of our Retail team  you get to hold that moment in your hands over and over again. Proven experience in the retail or food and beverage industry is…"]
["Pick Packers", "Cornerstone HR", "Lidcombe NSW", "$25 - $27 an hour", "All other warehouse duties as required. Due to the large volume of applications  only shortlised candidates will be contacted. Working in a similar environment."]
["Office Assistant", "Liverpool Physio", "Liverpool NSW", "Null", "Customer service  answering phone and filing ect Job Types: Casual  Permanent Salary: $10 000.00 to $15 000.00 …"]
["Team Member | Roll'd Kotara", "Roll'd Australia", "Kotara NSW", "$15 - $25 an hour", "With new store openings that is in a rapid growth phase  we are looking for experienced and energetic team members to join our dynamic family."]
["Process Worker", "Job Directions", "Prestons NSW", "$40000 - $60000 a year", "Your duties include but are not limited to: All employees will receive the appropriate training prior to starting and continuous training on the job.*."]
["Genius - Retail Customer Service", "Apple", "Sydney NSW", "Null", "At the Apple Store  you maintain customers’ trust in Apple as the skilled expert  troubleshooting and repairing products."]
["Office Assistant", "Liverpool Physio", "Liverpool NSW", "Null", "Customer service  answering phone and filing ect Job Types: Casual  Permanent Salary: $10 000.00 to $15 000.00 …"]
["Team Member | Roll'd Kotara", "Roll'd Australia", "Kotara NSW", "$15 - $25 an hour", "With new store openings that is in a rapid growth phase  we are looking for experienced and energetic team members to join our dynamic family."]
["Farm Hand /Machinery operator", "Greener Lawn Supplies Pty Ltd", "Freemans Reach NSW", "Null", "HR truck licence an advantage  must be happy to do manual labour and willing to learn operate computerised Machinery."]
["Casting Now - Actors Models and Extras for work in Film and...", "Screentalent", "Sydney NSW", "Null", "Actors  Models  Extras and Featured Extras required for work in film and television production.*. With Sydney becoming one of the world's leading film and…"]
["Light Rail Drivers – Inner West Light Rail", "Transdev", "Null", "Null", "To be considered for the role you must possess a current NSW Drivers Licence (C Class) and a minimum of 5 years driving experience on full licence (not…"]
["Tuggerah - CHRISTMAS CASUALS", "Adairs", "Null", "Null", "Are you a retail savvy individual who is driven by creating the ultimate customer centric experience? Have previously worked in retail and have an appreciation…"]
["Fill Associate", "Big W", "Null", "Null", "We opened our first store on the outskirts of Newcastle in New South Wales in 1964 and have 186 stores operating across Australia today."]
["Warehouse Picker/Packer", "Saturm Consultancy Firm", "Null", "$25 - $32 an hour", "Maintains safe and clean work environment by keeping shelves  pallet area  and workstations neat; Contributes to team effort by accomplishing related results as…"]
["Kmart Orange - Casual Team Members", "Kmart", "Null", "Null", "As Australia’s brightest retail star  we have experienced strong success in recent times and have bold plans to significantly expand our business and deliver…"]
["Customer Service Representative - Killarney Vale", "Coles", "Null", "Null", "Coles Express has over 700 stores across Australia and our business is not only driven by our customers  but our 5 900 dedicated Team members."]
["Casual/Part-Time Sales Assistant", "Glassons", "Null", "Null", "So start your retail journey with us and help our brand lead the way in the fashion industry! We are on the lookout for exceptional style superstars to join our…"]
["Customer Service Assistant - Eastgardens", "Target Australia Pty Ltd", "Null", "Null", "As an iconic Australian retailer with over 250 stores nationally and a rapidly growing online presence  we are immensely proud of our history and need people to…"]
["Christmas Casuals", "Hype DC", "Null", "Null", "Opportunity to kick start your retail career. Work amongst premium product with a leading retailer. Full availability from Mid November to Mid January -…"]
["Customer Assistant (Casual) 27/08/19 Lake Haven", "Dusk", "Null", "Null", "As a dusk Customer Assistant  your role is to consistently deliver Customer service excellence  achieve results  be a Team player and maintain store visual…"]
["Team Member | Roll'd Kotara", "Roll'd Australia", "Kotara NSW", "$15 - $25 an hour", "With new store openings that is in a rapid growth phase  we are looking for experienced and energetic team members to join our dynamic family."]
["Customer Service Representative - Killarney Vale", "Coles", "Null", "Null", "Coles Express has over 700 stores across Australia and our business is not only driven by our customers  but our 5 900 dedicated Team members."]
["Administrative Assistant", "Evergreen Management Group Pty Ltd", "Null", "$1200 - $1400 a week", "Administrator/ work coordinator required for an immediate start with excellent customer service and commutation skills."]
["Casual/Part-Time Sales Assistant", "Glassons", "Null", "Null", "So start your retail journey with us and help our brand lead the way in the fashion industry! We are on the lookout for exceptional style superstars to join our…"]
["Fill Associate", "Big W", "Null", "Null", "We opened our first store on the outskirts of Newcastle in New South Wales in 1964 and have 186 stores operating across Australia today."]
["PACKER", "ISSATEC ENGINEERING", "Null", "Null", "WE ARE A ELECTRONIC MANUFACTURING COMPANY IN CLYDE SEEKING TO TAKE ON A JUNIOR CANDIDATE TO JOIN OUR PACKING TEAM DUTIES INCLUDE PACKING ELECTRONIC GOODS MUST…"]
["Baggage Handler Qantas Ground Services (QGS) - Sydney Airpo...", "Qantas Ground Services Pty Limited", "Null", "Null", "A current and valid full state or territory driver’s license and the ability to obtain an Airside Drivers licence. We firmly believe that the sky is the limit."]
["Team Member – Coles Vincentia", "Coles", "Null", "Null", "Availability to work flexible hours across our store trading days including early mornings  evenings and weekends. Why join the Coles Team?"]
["ZARA Pitt St - Full Time Sales Assistant", "ZARA", "Null", "Null", "You relate to our customers by analyzing what they are asking for and you work closely with our commercial teams to establish the latest trends - all in a…"]
["Retail Assistant - Balgowlah", "ALDI", "Null", "$25.31 an hour", "A Retail Assistant at ALDI needs to be able to thrive in a fast paced  team environment and always be willing to go the extra mile for their customers and team."]
["Airline Baggage Handling Agents - Sydney Airport", "Swissport (Australia and New Zealand)", "Null", "Null", "If successful  you would need to undertake security/background checks including Federal Police Check  pre-employment drug and alcohol screening and dangerous…"]
["Farm Hand /Machinery operator", "Greener Lawn Supplies Pty Ltd", "Freemans Reach NSW", "Null", "HR truck licence an advantage  must be happy to do manual labour and willing to learn operate computerised Machinery."]
["Casting Now - Actors Models and Extras for work in Film and...", "Screentalent", "Sydney NSW", "Null", "Actors  Models  Extras and Featured Extras required for work in film and television production.*. With Sydney becoming one of the world's leading film and…"]
["Genius - Retail Customer Service", "Apple", "Sydney NSW", "Null", "At the Apple Store  you maintain customers’ trust in Apple as the skilled expert  troubleshooting and repairing products."]
["Office Assistant", "Liverpool Physio", "Liverpool NSW", "Null", "Customer service  answering phone and filing ect Job Types: Casual  Permanent Salary: $10 000.00 to $15 000.00 …"]
["Process Worker", "Job Directions", "Prestons NSW", "$40000 - $60000 a year", "Your duties include but are not limited to: All employees will receive the appropriate training prior to starting and continuous training on the job.*."]
["Pick Packers", "Cornerstone HR", "Lidcombe NSW", "$25 - $27 an hour", "All other warehouse duties as required. Due to the large volume of applications  only shortlised candidates will be contacted. Working in a similar environment."]
["Retail Team Member", "Krispy Kreme", "Null", "Null", "As part of our Retail team  you get to hold that moment in your hands over and over again. Proven experience in the retail or food and beverage industry is…"]
["GUCCI Cashier", "Groupe Kering", "Null", "Null", "Relevant experience – experience in luxury retail preferred. Perform admin duties for the store. Through our new contemporary vision at Gucci we are inventing a…"]
["PACKER", "ISSATEC ENGINEERING", "Null", "Null", "WE ARE A ELECTRONIC MANUFACTURING COMPANY IN CLYDE SEEKING TO TAKE ON A JUNIOR CANDIDATE TO JOIN OUR PACKING TEAM DUTIES INCLUDE PACKING ELECTRONIC GOODS MUST…"]
["Casual Retail Assistant", "BAD Workwear", "Null", "Null", "BAD has been operating in Victoria and New South Wales for over 20 years across 9 successful retail stores. If you are an energetic  positive person who loves…"]
["Tourism Trainee", "Port Stephens Council", "Null", "$756 a week", "The successful candidate will be energetic and motivated to develop your skills and qualifications through a combination of on-the-job experience in a…"]
["Meter Reader", "Oncontractor", "Null", "Null", "Have a reliable car and unrestricted valid driver's licence. Ability to obtain a clean police clearance. The following criteria must be met:"]
["Fill Associate", "Big W", "Null", "Null", "We opened our first store on the outskirts of Newcastle in New South Wales in 1964 and have 186 stores operating across Australia today."]
["Dog Walker", "Pet Butler", "Null", "$700 - $800 a week", "Pay is per walk  you must have a smartphone of some kind  you must have a full driving licence and be a competent driver  ideally able to commit to the role for…"]
["Process Worker", "Chemtools", "Null", "Null", "We are looking for an energetic and physically capable candidate with a strong work ethic and a \"can do\" attitude who is able to multi task and contribute to a…"]
["Summer Sales Team Members - Wollongong", "City Beach Australia", "Null", "Null", "Dedicated team member support and development through education and fully paid Retail Operations Traineeships and our internal training programs."]
["Casting Now - Actors Models and Extras for work in Film and...", "Screentalent", "Sydney NSW", "Null", "Actors  Models  Extras and Featured Extras required for work in film and television production.*. With Sydney becoming one of the world's leading film and…"]
["Genius - Retail Customer Service", "Apple", "Sydney NSW", "Null", "At the Apple Store  you maintain customers’ trust in Apple as the skilled expert  troubleshooting and repairing products."]
["Office Assistant", "Liverpool Physio", "Liverpool NSW", "Null", "Customer service  answering phone and filing ect Job Types: Casual  Permanent Salary: $10 000.00 to $15 000.00 …"]
["Team Member | Roll'd Kotara", "Roll'd Australia", "Kotara NSW", "$15 - $25 an hour", "With new store openings that is in a rapid growth phase  we are looking for experienced and energetic team members to join our dynamic family."]
["Farm Hand /Machinery operator", "Greener Lawn Supplies Pty Ltd", "Freemans Reach NSW", "Null", "HR truck licence an advantage  must be happy to do manual labour and willing to learn operate computerised Machinery."]
